"Carimbo de data/hora","Qual é o seu gênero?","Qual é a sua cor ou raça/etnia?","Qual é a sua faixa etária?","Em que estado você mora atualmente?","Qual é a sua ocupação atual?","Você aplica conhecimentos técnicos da área de Inteligência Artificial na sua atuação:","1. Existem até o momento mais dissensos do que consensos sobre quais são os principais problemas a serem enfrentados pelo campo da IA.","2. As Big Techs têm mais poder do que deveriam em definir as possibilidades e limites do campo da IA.","3. O foco atual do campo da IA na abordagem data and compute-intensive é acertado.","4. No contexto da pesquisa em IA, considerações éticas e progresso científico podem entrar em conflito.","5. Outros setores não-especialistas, como o poder público e a sociedade civil, devem ter participação nas definições éticas do campo da IA.","6. A evolução dos Large language models (LLMs) está indo em direção à AGI.","7. Os pesquisadores no campo da IA devem ter como prioridade perseguir a chamada Inteligência Artificial Geral, em inglês Artificial General Intelligence (AGI).","8. De modo geral, o desenvolvimento científico da IA terá um impacto futuro positivo no mundo.","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [1. Existem até o momento mais dissensos do que consensos sobre quais são os principais problemas a serem enfrentados pelo campo da IA.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [2. As Big Techs têm mais poder do que deveriam em definir as possibilidades e limites do campo da IA.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [3. O foco atual do campo da IA na abordagem data and compute-intensive é acertado.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [4. No contexto da pesquisa em IA, considerações éticas e progresso científico podem entrar em conflito.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [5. Outros setores não-especialistas, como o poder público e a sociedade civil, devem ter participação nas definições éticas do campo da IA.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [6. A evolução dos Large language models (LLMs) está indo em direção à AGI.]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [7. Os pesquisadores no campo da IA devem ter como prioridade perseguir a chamada Inteligência Artificial Geral, em inglês Artificial General Intelligence (AGI).]","Qual porcentagem de especialistas da área de Inteligência Artificial você acha que irá marcar ""concordo totalmente"" ou ""concordo mais do que discordo"" para cada afirmação? Antes de responder, leia a observação abaixo.

Observação: para os fins desta pesquisa, considere como grupo de referência os especialistas que participaram (como palestrantes, membros de comitê técnico ou com artigo/s publicado/s) da conferência que você também participou (BRACIS/ENIAC 2022/2023). [8. De modo geral, o desenvolvimento científico da IA terá um impacto futuro positivo no mundo.]","Por fim, gostaria de deixar algum comentário ou feedback?"
"11/24/2023 15:51:46","Masculino","Branca","41-45","SP","Professor Universitário","Com frequência","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%",""
"11/24/2023 17:17:46","Masculino","Branca","18-25","MG","Doutorando","Com frequência","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Discordo totalmente","Discordo totalmente","Discordo totalmente","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 80%",""
"11/24/2023 18:50:44","Masculino","Branca","41-45","BA","Professor","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Discordo mais do que concordo","Discordo mais do que concordo","Discordo mais do que concordo","Concordo totalmente","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Até 20%","Mais de 40% até 60%","Até 20%","Até 20%","Mais de 60% até 80%",""
"11/24/2023 21:15:24","Não-binário","Branca","26-30","PE","Doutorando bolsista","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Discordo totalmente","Discordo mais do que concordo","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 40% até 60%","Até 20%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%",""
"11/25/2023 8:56:46","Masculino","Branca","46-50","SP","Professor universitário","Com frequência","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo totalmente","Concordo mais do que discordo","Mais de 20% até 40%","Mais de 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 60% até 80%",""
"11/25/2023 9:49:41","Masculino","Branca","46-50","SE","Professor do magistério superior","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%",""
"11/25/2023 10:00:32","Feminino","Parda","46-50","DF","Professora","Com frequência","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Mais de 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 80%","Mais de 60% até 80%","Mais de 80%",""
"11/25/2023 10:25:59","Feminino","Branca","Acima de 60","RS","professora","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Discordo mais do que concordo","Mais de 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%",""
"11/27/2023 15:10:24","Masculino","Parda","41-45","BA","Professor","Com frequência","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%",""
"11/27/2023 18:54:20","Feminino","Parda","41-45","RS","Professora do mag superior","Às vezes","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%",""
"11/27/2023 19:09:41","Feminino","Branca","41-45","SP","Professora","Com frequência","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 80%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 20% até 40%",""
"11/27/2023 19:40:46","Masculino","Branca","26-30","ES","Engenheiro de Qualidade de Software","Às vezes","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Discordo totalmente","Discordo totalmente","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 40% até 60%",""
"11/27/2023 20:50:03","Masculino","Branca","26-30","AM","Cientista de Dados","Com frequência","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Discordo totalmente","Concordo totalmente","Até 20%","Mais de 80%","Mais de 40% até 60%","Mais de 80%","Mais de 20% até 40%","Mais de 60% até 80%","Até 20%","Mais de 80%",""
"11/27/2023 21:13:04","Masculino","Branca","31-35","PR","Analista de dados","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Discordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 60% até 80%",""
"11/28/2023 8:40:38","Masculino","Branca","56-60","BA","Professor universitário","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Mais de 80%","Mais de 80%","Mais de 20% até 40%","Mais de 80%","Mais de 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%",""
"11/28/2023 9:46:35","Feminino","Branca","41-45","BA","Professora universitária","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Mais de 20% até 40%","Mais de 40% até 60%","Até 20%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 20% até 40%","Até 20%","Mais de 60% até 80%",""
"11/28/2023 14:17:50","Masculino","Amarela","26-30","SP","Pesquisador Júnior e Aluno de Doutorado","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo totalmente","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Mais de 80%","Mais de 80%","Até 20%","Mais de 60% até 80%","Mais de 20% até 40%","Até 20%","Até 20%","Mais de 80%",""
"11/28/2023 23:38:15","Feminino","Parda","26-30","SP","Doutoranda","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%",""
"11/30/2023 9:52:38","Masculino","Branca","26-30","CE","Pesquisador","Com frequência","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo totalmente","Mais de 40% até 60%","Mais de 80%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Até 20%","Mais de 60% até 80%",""
"11/30/2023 14:37:44","Masculino","Branca","18-25","MG","Analista de Dados","Com frequência","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 60% até 80%","Até 20%","Mais de 80%","Mais de 20% até 40%","Mais de 20% até 40%","Até 20%","Mais de 80%",""
"11/30/2023 14:41:31","Masculino","Branca","26-30","SP","Doutorando","Com frequência","Concordo mais do que discordo","Concordo totalmente","Discordo totalmente","Concordo mais do que discordo","Discordo totalmente","Discordo mais do que concordo","Discordo mais do que concordo","Concordo totalmente","Mais de 40% até 60%","Mais de 60% até 80%","Até 20%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 80%",""
"11/30/2023 16:14:43","Masculino","Branca","18-25","CE","Estudante","Às vezes","Discordo mais do que concordo","Concordo totalmente","Discordo mais do que concordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Discordo totalmente","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 80%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 80%",""
"11/30/2023 19:20:41","Masculino","Parda","26-30","CE","Pesquisador e Desenvolvedor de Software.","Com frequência","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Até 20%","Mais de 80%","Mais de 40% até 60%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%",""
"11/30/2023 19:32:57","Masculino","Branca","18-25","RN","Desenvolvedor front-end web","Às vezes","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Concordo totalmente","Discordo totalmente","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Mais de 80%","Até 20%","Mais de 80%","Mais de 80%","Mais de 60% até 80%",""
"11/30/2023 20:17:17","Masculino","Branca","26-30","RJ","Cientista de dados","Com frequência","Discordo mais do que concordo","Discordo mais do que concordo","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Concordo totalmente","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 60% até 80%",""
"11/30/2023 20:45:40","Masculino","Branca","31-35","CE","Professor ","Com frequência","Discordo mais do que concordo","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Até 20%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%",""
"11/30/2023 23:38:31","Masculino","Branca","26-30","RS","Cientistade dado","Com frequência","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 40% até 60%",""
"12/1/2023 0:46:51","Masculino","Parda","26-30","MG","Cientista de Dados","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 80%","Mais de 20% até 40%","Mais de 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 80%",""
"12/1/2023 9:10:58","Masculino","Branca","41-45","MG","Professor Universitário ","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Discordo totalmente","Discordo totalmente","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 40% até 60%","Até 20%","Até 20%","Mais de 80%",""
"12/1/2023 10:17:47","Feminino","Branca","Acima de 60","PE","Professor e pesquisador ","Com frequência","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 20% até 40%","Até 20%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 20% até 40%","Até 20%","Até 20%","Mais de 20% até 40%",""
"12/1/2023 18:17:47","Feminino","Amarela","46-50","PR","Professora universitária","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 80%","Mais de 80%","Mais de 40% até 60%",""
"12/2/2023 11:11:57","Masculino","Parda","26-30","CE","Analista de TI e Pesquisador","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 80%",""
"12/2/2023 18:48:04","Feminino","Branca","46-50","RS","Pesquisadora CNPq","Com frequência","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Até 20%","Mais de 80%",""
"12/4/2023 9:02:31","Masculino","Branca","31-35","MG","Professor","Às vezes","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 80%",""
"12/4/2023 19:06:28","Masculino","Parda","46-50","RN","Professor","Raramente","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Concordo totalmente","Discordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Até 20%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 80%","Mais de 20% até 40%","Até 20%","Mais de 20% até 40%","Mais de 60% até 80%",""
"12/4/2023 19:47:36","Masculino","Branca","31-35","PE","Professor ","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Discordo totalmente","Concordo totalmente","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Até 20%","Até 20%","Mais de 60% até 80%",""
"12/4/2023 20:09:47","Masculino","Branca","46-50","SP","Empreendedor","Às vezes","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Discordo totalmente","Concordo totalmente","Até 20%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 80%",""
"12/4/2023 22:21:42","Feminino","Branca","56-60","SP","pesquisadora de pós-doc","Com frequência","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%",""
"12/5/2023 8:24:04","Masculino","Branca","18-25","SP","Estudante exclusivo da PPGCC UFSCar São Carlos","Com frequência","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%",""
"12/5/2023 9:13:02","Masculino","Branca","26-30","PR","Professor","Com frequência","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Mais de 40% até 60%","Mais de 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%",""
"12/5/2023 10:20:12","Masculino","Branca","51-55","MG","professor EBTT","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Discordo mais do que concordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 80%","Mais de 20% até 40%","Até 20%","Mais de 60% até 80%",""
"12/5/2023 12:26:36","Masculino","Parda","18-25","SP","Pesquisador em IA","Com frequência","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Mais de 40% até 60%","Mais de 80%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 80%","Mais de 20% até 40%","Mais de 60% até 80%",""
"12/5/2023 12:57:35","Masculino","Branca","31-35","SP","Professor Doutor","Com frequência","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo totalmente","Mais de 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Até 20%","Mais de 80%",""
"12/5/2023 14:47:19","Masculino","Branca","26-30","Moro no exterior","Doutorando","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo totalmente","Concordo mais do que discordo","Discordo totalmente","Discordo totalmente","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 80%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 60% até 80%",""
"12/5/2023 21:12:21","Masculino","Parda","18-25","CE","Analista de Sistemas","Às vezes","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 40% até 60%",""
"12/6/2023 10:07:14","Masculino","Parda","36-40","MS","Professor","Às vezes","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo mais do que discordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%",""
"12/6/2023 20:41:41","Masculino","Branca","46-50","RJ","Professor Universitário","Às vezes","Discordo mais do que concordo","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Discordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 20% até 40%","Mais de 20% até 40%","Até 20%","Mais de 60% até 80%",""
"12/7/2023 9:24:48","Masculino","Branca","41-45","SP","Professor e Pesquisador","Com frequência","Concordo totalmente","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 60% até 80%",""
"12/7/2023 12:42:33","Feminino","Branca","31-35","MG","Professora","Com frequência","Concordo mais do que discordo","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Discordo totalmente","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Mais de 80%","Mais de 80%","Mais de 80%","Mais de 80%","Mais de 60% até 80%","Mais de 80%","Mais de 60% até 80%","Mais de 80%",""
"12/7/2023 13:33:18","Masculino","Branca","36-40","SP","CEO de Startup","Com frequência","Concordo totalmente","Concordo mais do que discordo","Concordo mais do que discordo","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo totalmente","Concordo mais do que discordo","Mais de 40% até 60%","Mais de 80%","Mais de 20% até 40%","Mais de 60% até 80%","Mais de 80%","Mais de 20% até 40%","Mais de 20% até 40%","Mais de 40% até 60%",""
"12/7/2023 14:13:13","Masculino","Branca","31-35","SP","Cientista de Dados Senior","Com frequência","Concordo mais do que discordo","Discordo totalmente","Concordo totalmente","Concordo mais do que discordo","Discordo mais do que concordo","Discordo mais do que concordo","Concordo totalmente","Concordo totalmente","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 40% até 60%",""
"12/8/2023 11:10:54","Masculino","Branca","31-35","RJ","Cientista de dados","Com frequência","Discordo mais do que concordo","Concordo mais do que discordo","Discordo mais do que concordo","Concordo mais do que discordo","Concordo totalmente","Discordo mais do que concordo","Discordo mais do que concordo","Concordo mais do que discordo","Mais de 20% até 40%","Mais de 40% até 60%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 60% até 80%","Mais de 40% até 60%","Mais de 60% até 80%","Mais de 80%",""
